Taxa	PT015	PT002	s58.Healthy.greaterthan5.Feces.Baseline	CN031	PH043	CN004	PH042	PH048	s.331.Healthylessthan5.Stool.1.2556	CN023	PT003	s.278.Healthylessthan5.Stool.visit1.2298	s064.Healthy_greaterthan5.Feces.Baseline	s.86.Healthy_greaterthan5.Feces.Baseline	PH029	s048.Healthy_lessthan5.Feces.Baseline	PH047	PH011	s.280.Healthylessthan5.Stool.visit1.2273	PH005	PH049	CN002	s.298.Healthylessthan5.Stool.1.2374	PT004	s066.Healthy_lessthan5.Feces.Baseline	s.91.Healthy.greaterthan5.Feces.Baseline	s.274.Healthylessthan5.Feces.Baseline	s.88.Healthy_greaterthan5.Feces.Baseline	PH045	PT012	PT018	PH025	CL007	PH024	s.87.Healthy_greaterthan5.Feces.Baseline	PT005	s60.Healthy.greaterthan5.Feces.Baseline	s.257.Healthylessthan5.Stool.1.1953	CN011	s083.Healthy_lessthan5.Feces.Baseline	s.109.Healthy.greaterthan5.Stool.1.910	PH021	CN013	PH008	CL009	PT013	PT014	PH002	PT019	s.294.HealthyLess.Than5.Stool.1.2296	CN029	PH028	s115.Healthy_greaterthan5.Feces.Baseline	PH022	CL002	CL005	PH020	CN022	PH019	PT006	s22.Healthy.Feces.Visit1	s69.Healthy_greaterthan5.Feces.Baseline	PH050	s.260.Healthylessthan5.Feces.Baseline	CN027	s.276.Healthylessthan5.Stool.visit1.2112	CN005	CN030	s.356.Healthy.lessthan5.Stool.1.2764	PT017	PH012	s95.Healthy.lessthan5.Feces.Baseline	CL010	s26.Healthy.Feces.Visit1	PH023	s.158.Healthy_lessthan5.Feces.Baseline	s30	PT009	PH017	s45.Healthy_lessthan5.Feces.Baseline	PH031	PT007	PT010	CL006	s.85.Healthy_greaterthan5.Feces.Baseline	PH018	s.290.Healthylessthan5.Stool.visit1.2284	CL003	s.84.Healthy_greaterthan5.Feces.Baseline	PH016	PH051	PH007	CN017	CL008	s.208.Healthy_lessthan5.Feces.Baseline	s.79.Healthy_greaterthan5.Feces.Baseline	CN026	PH027	PH038	PH041	s50.Healthy_lessthan5.Feces.Baseline	s47.Healthy_lessthan5.Feces.Baseline	PH040	s.75.Healthy_greaterthan5.Feces.Baseline	PH010	s128.Healthy_lessthan5.Feces.Baseline	s049.Healthy_greaterthan5.Feces.Baseline	PH035	s125.Healthy_lessthan5.Feces.Baseline	s.89.Healthygreaterthan5.Feces.Baseline	s.153.Healthy_lessthan5.Feces.Baseline	PH054	s46.Healthy.greaterthan5.Feces.Baseline	CN019	s70.Healthy_greaterthan5.Feces.Baseline	s.149.Healthy_lessthan5.Feces.Baseline	PH046	PH052	PT001	s.283.HealthyLess.Than5.Stool.1.2299	s.303.Healthylessthan5.Stool.1.2291	s.353.Healthygreaterthan5.Stool.1.2756	CN007	PH013	CN024	s68.Healthy_greaterthan5.Feces.Baseline	CN020	PH034	CL004	CN006	PH039	s.100.Healthygreaterthan5.Stool.visit1.798	PH037	s.74.Healthy_greaterthan5.Feces.Baseline	CN021	PH036	PH026	PT011	s6.Healthy.Feces.Visit1	CL001
p__Proteobacteria g__Altererythrobacter s__ishigakiensis	2	2	8	7	0	0	0	1	9	7	11	0	8	12	15	32	0	0	2	2	0	6	9	2	24	12	10	17	4	0	111	0	1	2	5	19	4	6	0	0	1	0	0	0	9	0	2	0	5	5	8	13	2	13	1	0	5	7	2	1	0	1	18	9	1	14	0	0	17	1	0	2	8	15	0	29	6	47	0	8	0	23	1	3	3	30	8	0	7	0	5	0	0	38	2	6	14	4	2	0	1	6	0	7	10	1	8	0	0	11	4	5	6	0	4	4	11	0	2	10	5	25	0	3	7	4	0	0	0	0	4	17	5	12	0	0	0	0	3	7
p__Proteobacteria g__Altererythrobacter s__mangrovi	1	1	16	3	0	10	0	29	2	4	13	0	6	3	0	8	51	0	23	13	1	4	2	5	0	0	3	1	7	1	16	0	1	35	2	18	0	1	7	1	4	0	0	0	1	0	0	0	10	0	1	2	1	12	2	6	6	4	3	1	1	0	13	3	3	1	0	0	3	2	1	5	2	11	19	2	4	4	0	1	0	30	0	8	2	3	24	4	13	0	9	0	3	8	1	0	2	1	2	14	0	0	0	14	5	4	52	0	0	4	12	17	2	1	0	1	7	0	2	0	0	1	0	7	24	4	1	0	0	15	3	6	11	12	0	0	1	0	3	0
p__Proteobacteria g__Altererythrobacter s__marensis	0	0	14	2	0	83	1	53	22	0	9	0	11	53	11	6	26	0	4	30	0	11	19	10	15	14	7	15	19	81	48	0	14	62	12	15	5	14	5	2	15	0	0	0	48	1	4	3	68	1	0	30	17	29	29	1	11	0	6	2	4	3	49	1	4	21	1	0	1	1	4	10	27	20	52	15	12	7	0	6	9	32	2	6	22	1	6	6	35	0	0	0	8	2	7	19	4	0	3	19	6	6	4	20	9	0	35	32	0	6	6	19	20	0	4	14	12	0	2	8	2	12	1	27	6	21	0	0	0	0	1	18	19	30	2	0	0	0	22	3
p__Proteobacteria g__Altererythrobacter s__namhicola	0	4	95	1	0	1	9	17	12	2	0	1	9	11	1	10	10	0	9	12	1	10	11	2	38	4	52	5	14	0	21	0	3	20	9	5	0	1	1	0	5	0	0	0	27	0	1	0	18	0	0	10	10	10	8	0	1	1	2	2	4	1	13	9	2	18	1	0	0	11	2	6	6	15	1	15	3	0	0	4	4	3	0	3	17	0	1	0	14	0	0	0	0	0	2	3	1	5	2	4	4	1	1	3	1	0	11	26	0	2	7	15	5	1	4	8	7	0	1	0	8	17	0	11	1	17	0	0	5	0	0	8	6	15	2	0	0	0	4	1
p__Proteobacteria g__Altererythrobacter s__sp. ZODW24	1	2	5	6	4	0	7	36	15	4	8	5	0	8	54	10	4	0	12	8	0	4	7	14	17	3	33	1	9	0	19	0	5	10	7	20	0	2	0	6	4	1	2	1	2	3	0	0	7	0	0	15	5	9	3	7	3	3	2	0	0	4	0	4	2	25	0	0	10	2	1	10	6	8	22	9	3	38	144	0	3	16	2	1	5	3	31	1	10	0	7	0	30	5	5	3	8	1	2	5	3	1	0	4	14	0	11	1	0	5	0	48	3	4	1	4	21	0	2	11	6	87	0	9	5	10	0	0	0	0	30	7	4	16	1	0	0	1	2	0
p__Proteobacteria g__Alteromonas	5	56	77	5	2	2	3	0	45	2	18	15	62	63	0	8	4	0	5	50	8	19	13	46	12	0	18	17	50	0	10	0	20	17	23	82	51	33	1	0	4	14	2	1	12	0	0	0	4	2	25	50	74	29	50	5	16	3	50	3	1	13	11	11	21	32	11	0	35	32	0	3	16	40	77	31	6	0	0	11	0	6	10	80	64	2	22	7	11	1	3	0	0	13	17	2	4	108	75	14	8	33	127	3	35	5	32	51	0	24	11	5	29	0	2	11	5	0	1	4	1	31	1	3	7	31	0	99	5	3	103	20	15	7	4	4	0	0	7	5
p__Proteobacteria g__Alteromonas s__addita	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Proteobacteria g__Alteromonas s__australica	0	1	0	7	1	0	1	0	0	0	0	0	3	4	14	1	0	0	4	3	0	0	0	0	0	0	2	0	0	0	1	0	1	16	1	2	0	2	0	0	0	0	5	0	1	0	0	0	3	0	0	0	0	0	11	0	0	10	1	42	0	0	0	0	0	0	1	0	1	1	0	0	0	3	1	1	0	0	0	4	0	0	9	2	1	0	0	0	0	0	0	0	18	2	0	0	0	1	25	0	2	0	0	0	0	107	7	1	0	3	0	1	0	0	1	2	12	0	2	0	0	1	1	0	21	3	0	0	0	0	3	0	0	1	0	0	0	0	1	0
p__Proteobacteria g__Alteromonas s__macleodii	5	39	8	1	1	3	8	13	6	0	0	1	52	14	2	6	5	0	12	29	0	2	0	15	30	0	58	21	12	0	46	0	2	10	13	87	0	3	3	0	9	3	0	2	28	0	6	0	18	4	18	5	46	3	32	21	4	1	1	1	2	6	13	5	5	5	2	14	15	1	0	7	5	18	7	67	9	25	0	9	4	7	2	0	5	14	5	13	5	0	0	1	4	15	12	5	3	5	23	45	15	21	3	4	5	2	28	72	0	16	3	36	6	3	7	42	20	0	0	7	5	9	2	0	5	3	0	80	0	2	1	3	5	5	0	0	0	79	4	0
p__Proteobacteria g__Alteromonas s__mediterranea	3	0	2	4	0	10	1	1	6	0	3	1	12	8	3	12	22	0	6	2	0	4	0	9	35	3	2	16	7	77	3	0	9	4	3	5	0	2	2	0	4	0	0	0	2	1	5	0	1	0	5	13	3	4	1	2	0	4	2	12	0	8	14	2	1	7	7	22	8	18	1	3	5	7	0	17	3	2	0	1	2	3	3	11	4	3	2	16	11	0	0	0	5	2	1	7	2	20	2	2	2	5	3	8	7	28	15	80	1	5	2	5	6	0	4	5	2	0	1	1	9	3	0	0	7	1	0	0	2	1	1	15	6	5	1	5	0	0	2	0
p__Proteobacteria g__Alteromonas s__naphthalenivorans	0	0	4	0	0	2	0	0	17	0	0	0	1	1	0	0	0	0	0	1	0	3	4	0	0	3	0	8	0	108	0	0	6	0	6	0	4	0	0	0	0	0	0	0	0	0	3	0	0	1	0	3	10	0	2	0	0	0	0	0	0	0	22	2	0	5	0	0	0	4	0	2	5	1	0	3	5	0	0	1	0	0	0	0	3	0	0	1	14	0	15	0	12	1	0	0	0	0	0	0	0	0	0	3	0	0	12	0	0	1	0	1	3	0	0	1	0	0	0	15	1	0	2	1	1	0	0	0	0	0	0	8	0	5	5	0	0	0	4	2
p__Proteobacteria g__Alteromonas s__sp. Mac1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
p__Proteobacteria g__Alteromonas s__sp. MB-3u-76	0	0	0	0	11	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	3	0	1	1	0	0	0	0	0	0	0	0	1	0	17	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
p__Proteobacteria g__Alteromonas s__sp. RW2A1	0	0	0	0	0	0	12	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	4	0	0	1	0	5	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	3	1	0	1	0	0	0	0	0	4	2	0	10	0	11	0	5	0	0	0	0	0	0	1	0	1	0	0	0	35	1	1	1	0	1	0	0	0	0	0	2	29	0	0	5	1	0	0	0	10	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	1	5	0	0	2	5	0	0	0	0	38	6	1	0	4	0	1	0	0	0	1
p__Proteobacteria g__Alteromonas s__stellipolaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
p__Proteobacteria g__Aminobacter	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Proteobacteria g__Aminobacter s__aminovorans	0	7	10	6	0	1	2	22	16	2	8	0	23	27	0	7	5	0	5	4	1	3	21	8	20	1	10	21	9	0	12	0	9	7	16	3	4	4	0	33	4	3	0	0	69	0	1	0	8	1	10	22	17	18	15	3	3	2	3	4	5	1	44	8	2	21	8	0	4	14	2	8	3	20	11	14	7	4	16	5	12	54	0	2	28	1	16	10	49	0	0	0	0	2	15	6	0	10	30	2	3	18	2	2	9	0	15	0	0	9	17	18	10	3	185	15	10	0	3	1	3	27	37	11	0	7	0	0	0	2	21	5	3	22	1	0	0	5	1	0
p__Proteobacteria g__Aminobacter s__sp. MSH1	0	0	111	29	0	0	0	33	15	13	5	0	47	58	0	46	14	0	12	10	0	40	15	1	13	2	36	26	41	0	15	0	12	16	19	4	0	12	0	313	1	2	0	0	28	0	0	0	38	1	1	8	52	22	7	0	2	14	0	13	2	0	20	12	3	23	0	0	7	1	4	4	8	15	17	6	2	1	0	2	4	25	1	4	40	0	25	29	69	0	0	0	0	3	12	21	0	1	5	3	7	7	0	2	69	3	37	12	0	5	21	39	11	22	3	7	24	0	8	0	0	32	0	18	13	20	0	0	1	1	0	22	29	29	2	0	1	0	14	0
p__Proteobacteria g__Anaeromyxobacter	4	11	27	10	0	43	8	94	33	20	49	0	34	31	2	62	71	0	15	56	2	38	55	45	32	12	101	23	18	0	46	1	8	126	55	101	9	16	9	2	11	7	0	0	23	0	1	6	78	11	3	63	48	94	46	0	5	17	34	7	25	4	43	45	1	27	1	0	93	33	2	31	23	68	213	28	5	18	0	26	8	93	15	40	78	29	23	3	60	0	8	0	2	14	7	15	52	1	77	41	0	6	8	21	53	7	116	9	0	14	63	35	22	4	9	18	19	0	1	1	12	75	0	9	14	33	0	0	0	0	35	32	43	65	2	0	0	1	36	1
p__Proteobacteria g__Anaeromyxobacter s__dehalogenans	4	13	17	11	0	31	6	100	26	20	34	0	17	51	0	24	85	0	23	40	2	13	28	23	59	12	65	9	26	0	49	1	4	118	30	49	18	1	4	1	8	6	2	2	37	2	0	4	127	5	1	58	30	102	36	7	11	17	12	3	18	5	62	14	1	41	39	0	1	40	2	8	18	45	98	34	5	20	0	17	5	73	11	13	53	3	11	16	40	0	13	0	0	20	8	15	19	15	6	42	2	18	1	32	11	8	73	39	0	9	11	28	15	4	6	15	18	0	3	3	11	42	0	16	30	39	0	1	0	1	14	32	63	81	263	0	0	3	14	4
p__Proteobacteria g__Anaeromyxobacter s__sp. Fw109-5	2	6	138	14	0	4	12	59	27	8	47	0	17	55	0	55	55	0	23	19	0	28	33	20	41	14	72	12	15	1	23	0	87	33	42	27	8	7	1	2	23	1	0	0	26	0	0	0	25	10	13	44	23	61	42	0	11	17	12	4	20	2	52	21	2	40	0	0	40	54	1	20	27	49	31	32	7	1	3	30	7	93	3	6	39	26	23	6	46	1	7	0	8	27	33	19	17	12	11	13	12	6	14	12	23	7	109	60	0	23	48	27	19	13	10	36	33	0	4	6	12	78	0	13	7	34	3	1	0	0	3	30	22	42	2	0	0	0	14	2
p__Proteobacteria g__Anaeromyxobacter s__sp. K	0	0	9	3	0	1	0	18	7	0	8	0	2	6	0	7	15	1	5	10	0	7	3	4	0	0	7	23	2	0	0	0	3	4	13	2	33	1	1	2	5	0	0	0	3	0	1	1	15	0	0	8	6	4	4	0	2	4	2	0	0	0	1	3	0	5	1	0	1	2	0	11	6	9	6	1	3	1	0	5	2	27	0	1	13	15	6	8	15	0	0	0	0	2	0	3	3	0	0	0	3	1	0	5	3	4	15	7	0	12	3	2	5	13	1	0	1	0	1	0	4	6	0	2	0	20	0	0	0	0	3	7	4	8	1	0	0	0	8	0
p__Proteobacteria g__Anaplasma	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	17	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	24	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
p__Proteobacteria g__Anaplasma s__centrale	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Proteobacteria g__Anaplasma s__marginale	0	0	1	3	0	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	1	0	8	0	0	0	5	0	0	1	0	0	0	0	2	0	0	1	3	0	0	0	0	0	9	2	0	2	2	0	0	0	0	4	0	0	12	0	0	0	0	0	0	0	1	0	0	4	0	0	5	0	0	1	0	0	0	0	7	8	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0
p__Proteobacteria g__Anaplasma s__phagocytophilum	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	14	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	1	5	0	0	10	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
p__Proteobacteria g__Anderseniella s__sp. Alg231-50	2	1	97	43	0	0	5	12	9	6	13	19	12	18	4	1	21	0	9	11	0	9	76	5	3	123	28	10	7	1	87	0	1	9	15	15	2	4	0	4	1	0	3	0	6	271	2	0	27	188	0	8	2	38	10	8	9	2	4	1	2	1	14	56	0	11	2	0	0	2	0	16	119	15	4	0	2	63	0	6	4	30	1	4	95	30	1	0	23	0	6	0	1	34	176	5	8	4	0	0	5	3	2	2	3	6	25	2	0	12	4	16	9	0	11	52	6	0	1	1	6	17	3	4	7	2	0	0	0	1	2	4	1	32	1	0	0	0	14	315
p__Proteobacteria g__Antarctobacter s__heliothermus	9	5	14	6	0	14	2	40	10	159	23	2	6	28	19	24	49	1	8	34	0	3	19	11	15	0	10	15	5	81	24	0	0	41	7	31	45	7	12	5	0	4	9	1	22	1	0	0	14	7	8	12	11	40	4	0	6	9	6	4	4	4	39	7	0	3	33	0	9	4	0	13	4	22	6	28	11	41	112	6	6	86	4	42	16	2	11	17	17	1	10	0	264	20	7	7	8	2	19	24	5	3	6	36	8	16	9	27	0	8	56	18	7	10	11	8	14	0	0	10	3	17	0	6	21	7	0	0	0	29	19	20	22	11	0	0	0	0	12	4
p__Proteobacteria g__Aquabacterium s__olei	0	3	2	1	0	0	0	20	24	10	3	0	12	11	2	20	16	4	5	7	2	13	21	3	12	1	30	1	7	1	30	0	2	14	6	3	10	8	0	0	2	0	1	0	44	0	2	0	17	9	2	11	24	33	14	0	3	9	1	0	1	6	30	24	0	10	55	1	48	89	17	3	38	11	3	8	5	0	3	7	8	1	0	0	11	9	3	24	23	0	0	0	14	6	12	4	1	23	2	1	8	1	1	2	1	5	5	46	0	7	9	2	21	0	3	27	6	0	41	5	2	58	1	131	44	14	3	0	0	0	1	4	3	19	5	0	0	0	8	0
p__Proteobacteria g__Aquaspirillum s__sp. LM1	7	2	88	19	1	4	9	12	13	3	18	19	9	15	0	8	16	1	7	4	0	9	22	5	6	0	8	1	14	0	4	0	2	13	19	11	2	5	0	0	7	1	1	0	4	0	0	0	22	0	9	19	16	21	12	0	5	2	6	1	3	9	21	26	4	6	4	0	20	57	1	3	14	9	0	6	8	0	0	4	16	284	1	2	31	0	17	3	9	0	2	0	5	0	53	6	2	55	0	3	9	6	3	2	15	9	113	3	0	2	7	4	8	2	3	33	7	0	4	9	3	44	0	6	2	6	0	0	0	0	0	5	28	32	0	0	0	0	16	4
p__Proteobacteria g__Archangium s__gephyra	3	15	129	9	2	30	7	36	55	75	60	0	37	53	0	44	83	0	22	46	1	61	66	25	16	25	47	52	14	0	12	1	22	68	53	21	13	34	1	3	16	1	1	2	37	0	0	1	42	3	17	79	31	40	37	4	20	7	15	7	23	5	37	13	1	24	0	0	32	11	8	30	32	52	73	2	23	22	0	9	10	110	7	30	57	27	17	14	72	1	3	0	116	11	14	35	5	22	2	20	5	17	24	40	19	3	144	134	0	29	66	47	18	3	10	36	31	0	5	10	9	26	0	7	8	83	3	0	0	0	3	48	41	72	2	0	0	1	29	2
p__Proteobacteria g__Arcobacter	0	1	0	2	5	0	0	0	1	0	0	0	2	0	0	4	1	0	1	1	137	1	5	0	10	0	2	3	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	11	1	0	0	0	0	1	0	0	0	0	0	0	1	0	2	79	11	0	0	1	2	3	0	27	0	0	0	3	1	1	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	1	0	1	0	0	2	10	0	1	3	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	3	1	2	29	0	18	0	0	0
p__Proteobacteria g__Arcobacter s__butzleri	0	77	0	15	15	0	3	21	8	1	1	7	14	11	106	21	26	0	14	9	252	1	74	4	25	24	2	1	4	1	6	0	33	6	2	3	10	0	1	0	3	2	37	0	9	0	0	0	13	13	16	42	17	6	0	8	1	12	2	0	8	5	12	22	4	12	3	234	42	0	1	13	3	29	19	41	8	2	0	4	1	12	1	2	60	20	0	1	10	0	2	0	0	3	35	6	4	1	7	2	12	10	1	6	17	6	67	68	0	8	43	10	8	0	8	13	10	0	0	3	24	13	1	0	0	12	0	248	0	2	1	11	6	25	192	16	114	0	3	1
p__Proteobacteria g__Arcobacter s__nitrofigilis	1	3	4	5	4	0	2	4	11	0	0	0	22	32	9	7	0	0	2	16	486	1	26	2	38	5	34	13	1	0	11	0	17	5	6	4	4	1	2	0	9	0	37	1	2	0	1	80	7	3	10	26	6	0	3	1	2	31	6	0	8	2	20	3	1	13	0	207	5	0	1	3	5	2	83	10	7	0	1	4	17	10	0	7	33	3	4	0	5	0	0	0	5	40	5	18	1	0	2	6	10	4	2	10	30	1	70	21	2	7	9	3	3	1	1	3	3	0	0	31	47	19	1	0	3	8	0	38	1	8	7	4	1	10	5	2	0	0	2	0
p__Proteobacteria g__Arcobacter s__sp. L	18	31	10	15	0	0	1	29	8	0	1	95	54	22	10	3	0	0	2	2	26	3	30	1	91	0	8	5	4	0	3	0	4	9	5	5	10	1	0	0	40	0	12	0	9	1	0	0	6	3	0	28	33	2	1	0	0	23	1	0	0	3	19	3	3	6	0	21	13	0	0	1	0	10	0	12	13	1	0	5	1	0	0	0	17	2	1	0	4	0	0	0	1	1	3	46	0	0	6	6	40	2	1	3	41	1	24	27	0	4	48	8	31	1	4	2	25	0	2	1	17	1	0	1	0	14	0	79	1	1	29	5	14	9	34	4	29	0	1	2
p__Proteobacteria g__Arcobacter s__sp. LPB0137	0	37	7	3	0	5	3	8	3	0	1	1	17	12	11	1	65	0	4	1	563	0	54	1	59	8	8	3	0	0	1	0	13	3	8	4	4	1	4	0	3	0	14	0	2	0	0	0	8	6	12	21	15	3	7	0	0	5	1	0	1	3	1	3	2	5	11	299	20	0	0	5	2	9	0	9	7	0	3	2	0	15	0	1	45	1	3	0	5	0	0	0	1	2	2	5	2	0	10	3	0	4	0	0	9	3	15	46	0	5	21	7	3	1	0	2	2	0	0	11	6	9	0	0	1	11	0	112	1	10	16	4	36	10	222	3	26	0	6	5
p__Proteobacteria g__Aromatoleum s__aromaticum	4	12	78	29	0	0	5	11	54	11	2	17	22	20	0	15	8	0	20	21	0	15	61	11	3	93	31	47	23	0	14	0	10	2	29	9	3	7	0	0	5	4	12	0	42	236	0	0	18	143	0	30	34	55	8	2	7	10	9	0	4	4	4	65	1	21	0	0	2	48	1	29	125	16	6	1	15	2	1	2	0	17	0	1	89	0	31	0	27	1	9	0	1	0	142	46	29	10	7	1	15	4	0	9	49	3	82	0	0	6	5	39	19	45	3	64	11	0	2	22	9	20	1	16	3	17	0	0	0	1	6	16	39	30	0	0	0	0	16	216
p__Proteobacteria g__Arsenophonus s__Candidatus Arsenophonus lipoptenae	3	24	0	1	4	1	6	1	5	0	1	0	4	20	0	1	0	0	1	0	256	0	7	0	8	0	9	0	0	0	2	0	4	0	2	0	1	0	4	0	0	0	7	0	6	0	4	0	7	1	4	5	1	2	2	0	0	0	0	0	0	0	4	4	1	1	1	141	3	5	0	0	0	2	0	10	0	2	0	2	4	0	1	0	9	2	0	0	2	0	0	0	0	0	0	1	1	0	10	0	6	0	1	0	0	0	1	1	5	4	1	8	2	0	0	2	1	0	1	0	2	4	0	0	1	1	0	45	4	4	0	2	1	1	145	4	0	0	1	0
p__Proteobacteria g__Asaia s__bogorensis	0	0	11	13	1	25	1	37	3	2	1	0	5	10	1	10	2	0	1	2	0	3	9	0	2	0	16	7	20	0	8	0	1	16	2	0	0	6	0	0	10	0	0	0	3	0	0	0	5	1	1	6	12	8	1	0	0	0	1	1	5	1	1	10	0	4	1	0	13	0	3	6	13	5	1	0	7	0	0	10	0	4	1	1	10	1	1	0	8	0	0	0	0	0	2	18	0	0	0	5	4	0	0	3	2	0	25	0	0	0	7	9	3	1	3	0	4	0	1	1	3	9	0	1	0	9	0	0	0	0	0	1	6	16	0	0	0	0	4	0
p__Proteobacteria g__Asticcacaulis s__excentricus	1	19	7	5	0	7	1	33	26	119	31	0	13	16	4	23	27	0	22	33	22	3	20	3	5	2	67	2	4	21	19	3	4	17	5	11	0	2	3	4	4	3	9	1	11	0	7	0	11	0	16	15	4	25	5	6	11	3	2	6	19	2	44	3	8	51	6	7	3	11	439	3	0	55	66	10	2	14	51	4	1	38	3	16	14	1	4	133	19	0	1	0	162	6	6	6	3	3	0	17	1	3	0	3	6	4	52	13	0	6	28	9	7	0	2	6	5	5	685	0	1	17	1	1226	9	14	33	0	2	3	7	12	6	15	61	0	1	13	7	1
